,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
6,gold,funds,fund,metals,exchange,xau,asia,holdings,investors,trust,spot,hedge,backed,commodities,traded
6,0.1328440010547638,0.03793276473879814,0.03523717448115349,0.032067470252513885,0.02669418230652809,0.022126078605651855,0.019606806337833405,0.019211051985621452,0.018905017524957657,0.014231383800506592,0.013834921643137932,0.012029842473566532,0.01188004482537508,0.01181382779031992,0.011290259659290314
7,crude,dollar,cents,trade,barrel,calls,rose,trading,fell,euro,demand,higher,low,last,gains
7,0.019540097564458847,0.01923784799873829,0.015746034681797028,0.012947840616106987,0.010642485693097115,0.010380448773503304,0.010306797921657562,0.008985037915408611,0.008835472166538239,0.00862524937838316,0.008439549244940281,0.008193856105208397,0.008114582858979702,0.007677668705582619,0.007609285414218903
8,yield,bond,yields,treasury,note,bonds,treasuries,two,mortgage,notes,end,basis,points,government,fed
8,0.02543235756456852,0.024736667051911354,0.01932305470108986,0.01882111467421055,0.014246237464249134,0.01357237808406353,0.013399504125118256,0.011594297364354134,0.011022650636732578,0.010910705663263798,0.010078761726617813,0.009917237795889378,0.009238561615347862,0.008527628146111965,0.008124120533466339
9,diary,reserve,ecb,federal,poll,japan,purchase,events,fed,int,central,key,policy,meeting,sold
9,0.035612549632787704,0.03208617866039276,0.030084658414125443,0.028193263337016106,0.024448100477457047,0.02050137333571911,0.020108217373490334,0.019286246970295906,0.018138309940695763,0.01639637164771557,0.016383592039346695,0.015915298834443092,0.014313159510493279,0.014068322256207466,0.013699611648917198
10,basic,ftse,asian,wealth,help,indicators,live,pages,phone,commodities,africa,america,equity,cen,stocks
10,0.011007563211023808,0.010261661373078823,0.00962532963603735,0.009243600070476532,0.009178661741316319,0.008778420276939869,0.008655460551381111,0.008293714374303818,0.008059531450271606,0.007876374758780003,0.007447973825037479,0.007347591686993837,0.007172890938818455,0.007166330236941576,0.006964464671909809
11,service,ratings,due,outlook,tax,term,cash,stable,following,available,operating,notes,long,capital,revenue
11,0.009871995076537132,0.009275294840335846,0.009235257282853127,0.009177629835903645,0.009085020050406456,0.009051389992237091,0.008654104545712471,0.008648635819554329,0.008539804257452488,0.00780953373759985,0.007602291647344828,0.007528322748839855,0.0072595481760799885,0.007199511397629976,0.007085356395691633
12,visit,page,information,companies,xtra,view,money,story,multimedia,energy,stories,ftse,general,central,versions
12,0.024351254105567932,0.02231711335480213,0.02107406035065651,0.016687380149960518,0.015229449607431889,0.01461312361061573,0.014200374484062195,0.013666333630681038,0.012661687098443508,0.012543430551886559,0.012074246071279049,0.011708256788551807,0.010656981728971004,0.010478634387254715,0.009947524406015873
13,gas,next,see,demand,average,share,natural,billion,price,shares,power,production,energy,weather,group
13,0.01744808815419674,0.012763554230332375,0.011122453957796097,0.010572177357971668,0.010528038255870342,0.01043145265430212,0.010296800173819065,0.01023069117218256,0.00922362320125103,0.00817886833101511,0.008031448349356651,0.007709592580795288,0.0076098754070699215,0.007493702229112387,0.007474212907254696
14,stocks,points,rose,shares,dow,stock,consumer,investors,fell,wall,average,street,spending,time,nasdaq
14,0.010501675307750702,0.009839493781328201,0.008697272278368473,0.008517114445567131,0.008477112278342247,0.008441375568509102,0.00795440562069416,0.007413559127599001,0.007235472556203604,0.007018215488642454,0.006771272514015436,0.006628530099987984,0.0062659201212227345,0.006175667513161898,0.005911882035434246
15,cuts,sales,date,short,time,says,heavy,source,average,basis,total,current,next,light,prior
15,0.04155747592449188,0.040409449487924576,0.03807211294770241,0.036223314702510834,0.030840793624520302,0.027080025523900986,0.024057451635599136,0.01376996748149395,0.013701421208679676,0.013517383486032486,0.013170121237635612,0.012772555463016033,0.012299701571464539,0.012092141434550285,0.011846666224300861
